,tBodyAcc-entropy()-X,"tBodyAcc-correlation()-X,Y","tBodyAcc-correlation()-Y,Z",tGravityAcc-mean()-Y,tGravityAcc-max()-X,tGravityAcc-max()-Z,tGravityAcc-min()-X,tGravityAcc-min()-Y,tGravityAcc-energy()-Y,"tGravityAcc-arCoeff()-Y,1","tGravityAcc-arCoeff()-Y,3","tGravityAcc-arCoeff()-Z,2","tGravityAcc-arCoeff()-Z,4",tBodyGyro-max()-X,tBodyGyro-min()-X,"tBodyGyro-arCoeff()-Y,1","tBodyGyro-correlation()-Y,Z",tBodyGyroJerk-iqr()-Y,tGravityAccMag-arCoeff()1,fBodyAcc-max()-X,fBodyAcc-max()-Y,fBodyAccJerk-max()-Y,"fBodyAccJerk-bandsEnergy()-1,16",fBodyGyro-maxInds-X,fBodyGyro-meanFreq()-X,fBodyAccMag-mad(),fBodyAccMag-energy(),fBodyBodyGyroJerkMag-std(),"angle(Y,gravityMean)",label
1,-0.71489166,-0.013428663,0.57938169,-0.14155127,0.89206031,0.12258573,0.98452014,-0.11489334,-0.97058275,-0.19635929,-0.10556772,0.8342711,0.8304639,-0.86490382,0.83372106,-0.047031809,0.1693948,-0.99730134,0.081568632,-0.99937173,-0.97377026,-0.98492321,-0.99998672,-1.0,-0.048167435,-0.97577688,-0.99947194,-0.99639947,0.18028889,5
2,-0.59223514,-0.12469839,0.60890014,-0.14200984,0.89240056,0.094565843,0.9867701,-0.11489334,-0.97036812,-0.32902304,-0.25449019,0.714392,0.72875542,-0.86490382,0.83372106,0.032311558,-0.35064613,-0.99542776,0.038049101,-0.99815849,-0.96307185,-0.98535077,-0.99996277,-1.0,-0.21668507,-0.98559356,-0.99980673,-0.99512739,0.18063731,5
3,-0.62744626,-0.30569299,0.50745887,-0.14397645,0.89381715,0.093424674,0.98682105,-0.12133575,-0.96939971,-0.29503597,-0.20628122,0.38637272,0.38526306,-0.88532038,0.83416396,0.044553234,-0.72530106,-0.99707848,-0.092855878,-0.99740352,-0.98727492,-0.98787422,-0.99997806,-1.0,0.21686246,-0.98352367,-0.99977021,-0.99523693,0.18193476,5
4,-0.78655253,-0.15580432,0.59921296,-0.14875022,0.89381715,0.091682389,0.98743352,-0.12183357,-0.96705115,-0.16669311,-0.066326701,0.23926797,0.24056851,-0.87015408,0.83909061,-0.1632209,-0.72455753,-0.99671765,0.18044105,-0.99927743,-0.9808482,-0.99037281,-0.99998834,-1.0,-0.15334258,-0.99232413,-0.9998731,-0.99546483,0.18515116,5
5,-0.75186908,-0.20997915,0.18042444,-0.14820997,0.89368344,0.083347121,0.98772183,-0.12183357,-0.9673206,-0.1981248,-0.10755395,0.17537477,0.20796474,-0.87015408,0.83980804,-0.11969243,-0.74597924,-0.9961224,0.37033862,-0.99859793,-0.99341435,-0.99280148,-0.9999866,-0.93333333,-0.36303968,-0.99385116,-0.99993904,-0.9952387,0.18482251,5
6,-0.63718496,-0.095852111,0.61084543,-0.14428214,0.89336965,0.085205725,0.98772183,-0.12009236,-0.96926606,-0.42266954,-0.36216875,0.13769216,0.15347557,-0.88084649,0.83923216,-0.046887555,-0.68768073,-0.99619198,0.15592,-0.99695738,-0.9687288,-0.99111145,-0.99998302,-1.0,-0.30712543,-0.98249004,-0.99967648,-0.99463909,0.18216997,5
7,-0.63323942,-0.16163423,0.56142107,-0.14670536,0.89420478,0.085205725,0.98792586,-0.12855866,-0.96803308,-0.47061829,-0.40506317,0.13917263,0.12964878,-0.87891649,0.83923216,-0.085885263,-0.73265004,-0.99628544,0.049663704,-0.99834695,-0.96242605,-0.98815205,-0.99997989,-0.86666667,-0.088135904,-0.97682912,-0.99946993,-0.99450684,0.18377851,5
8,-0.68311724,-0.16479067,0.72423433,-0.15437401,0.89420478,0.084473659,0.98775397,-0.1297641,-0.96412344,-0.32868686,-0.23988118,0.50364318,0.49676454,-0.87891649,0.84240348,-0.17102211,-0.44248085,-0.9969638,0.38267396,-0.99717366,-0.95385927,-0.98537003,-0.99998673,-1.0,-0.1840546,-0.97926401,-0.99952032,-0.99600721,0.18898248,5
9,-0.55072132,-0.17624116,0.39186658,-0.15630201,0.89477777,0.073488197,0.98775397,-0.1297641,-0.96313738,-0.36230751,-0.31072118,0.48421297,0.51492917,-0.87157112,0.83673943,-0.20403478,-0.44692136,-0.99336957,0.43069465,-0.99691343,-0.98439542,-0.97504704,-0.99995307,-0.53333333,-0.17276785,-0.98782548,-0.99977682,-0.99059941,0.19031033,5
10,-0.62899733,0.0085036618,0.22730862,-0.15236144,0.89494092,0.073598516,0.98782618,-0.12692295,-0.96520249,-0.28576279,-0.23875074,0.21862019,0.32024321,-0.87157112,0.83673943,-0.18539224,-0.4784977,-0.99345268,0.3731128,-0.99646574,-0.9791701,-0.97953579,-0.99995454,-1.0,-0.27981371,-0.98676484,-0.99975779,-0.9892975,0.18760932,5
11,-0.83802192,-0.26723866,0.1655597,-0.15006376,0.89494092,0.074662215,0.98861347,-0.12340878,-0.96639363,-0.48408907,-0.43185991,-0.0013303972,0.037008721,-0.88564296,0.84187441,0.0059400482,-0.36969406,-0.99790059,0.41585726,-0.99809918,-0.98935129,-0.99245668,-0.99998932,-0.8,0.076938014,-0.99471911,-0.99995274,-0.99787507,0.18605036,5
